area,White British,White Irish,Other White,White -Total,Black African,Black Caribbean,Other Black,Black - Total,Bangladeshi,Indian,Pakistani,Other Asian,Asian - Total,Mixed African,Mixed Asian,Mixed Caribbean,Other Mixed,Mixed - Total,Chinese,Other,Chinese or Other -Total,Total
Avon & Somerset,7.6,2.4,19.7,7.9,48.3,77.7,188.4,72.4,8.4,3.4,12.4,26.2,9.1,24.3,3.0,42.7,28.2,25.7,0.5,1.4,0.8,12.7
Bedfordshire,11.6,8.9,14.0,11.6,32.5,62.0,106.8,52.2,19.2,11.8,36.2,21.3,23.8,33.5,17.3,84.0,25.8,47.8,1.6,6.4,3.4,15.6
Cambridgeshire,7.8,2.9,6.9,7.7,7.8,16.5,32.1,14.2,8.3,2.6,18.2,15.8,10.1,16.1,2.5,19.0,11.9,11.2,2.2,5.7,3.8,8.1
Cheshire,5.4,3.0,6.6,5.4,6.1,15.6,53.8,13.2,2.6,1.6,10.9,7.4,5.1,4.4,2.2,12.1,14.9,8.7,0.8,10.8,5.0,5.5
Cleveland,24.1,6.8,6.0,23.8,11.8,36.3,69.3,20.3,5.9,8.9,10.1,40.1,13.8,6.1,9.9,26.0,10.8,13.1,149.2,14.8,74.1,24.1
Cumbria,19.1,1.8,12.3,18.9,6.2,4.6,110.0,13.5,24.7,11.6,10.1,50.1,17.6,4.6,5.1,0.0,14.2,6.2,11.4,7.4,9.8,19.2
Derbyshire,8.1,4.8,4.7,8.0,16.8,26.6,51.8,24.9,10.6,7.2,20.6,20.9,14.0,21.5,18.9,32.1,23.4,25.9,4.3,3.4,3.9,8.6
Devon & Cornwall,14.9,0.0,9.3,14.6,13.0,27.4,95.7,25.5,19.4,2.2,4.1,15.9,7.4,16.3,6.7,38.6,21.3,20.1,6.0,3.5,4.9,15.3
Dorset,9.7,3.5,7.4,9.6,20.5,80.3,188.2,54.5,15.4,2.8,4.4,24.3,9.4,14.7,9.3,37.8,30.7,23.2,8.4,4.0,6.2,10.1
Durham,9.9,3.1,1.7,9.7,3.4,9.5,22.4,7.0,1.5,0.8,2.6,7.7,2.5,2.7,1.1,5.4,5.8,3.6,0.4,2.2,1.2,9.6
Dyfed-Powys,22.6,7.5,5.9,22.2,26.0,54.0,443.9,64.8,33.4,18.9,20.3,85.3,33.6,49.6,7.5,42.4,33.7,29.5,9.0,11.0,10.1,22.9
Essex,6.3,3.7,9.5,6.3,16.6,20.5,38.5,19.5,12.6,3.7,11.4,8.2,7.3,30.0,7.3,29.5,15.3,18.8,6.3,5.6,6.0,7.0
Gloucestershire,11.5,5.6,8.7,11.4,21.8,52.9,117.3,47.3,22.9,8.2,7.9,27.9,12.1,20.4,10.1,50.2,27.1,30.8,4.2,6.8,5.4,12.0
Greater Manchester,20.2,3.9,9.3,19.6,50.3,97.0,197.9,79.2,21.7,9.1,42.1,44.0,30.0,47.3,18.6,101.6,44.4,58.6,5.4,16.1,9.8,22.1
Gwent,13.3,6.1,8.0,13.2,31.1,123.8,308.7,90.9,21.8,21.0,39.0,64.4,33.9,25.1,5.0,49.8,42.4,32.7,0.0,17.8,8.5,13.9
Hampshire,13.6,7.7,14.8,13.6,39.8,81.7,242.4,66.6,26.1,9.8,15.5,47.4,18.9,26.1,11.1,81.1,27.2,35.7,8.6,12.3,10.2,14.9
Hertfordshire,17.8,9.7,21.4,17.8,42.1,69.1,123.3,58.5,59.8,12.9,70.0,41.7,33.9,45.4,19.2,100.1,41.0,52.2,7.0,13.7,10.1,20.2
Humberside,13.6,1.4,7.5,13.4,13.1,34.6,88.3,22.5,11.9,2.6,16.6,32.3,13.3,20.2,10.6,31.2,26.3,20.7,35.1,15.9,27.5,14.0
Kent,10.7,5.1,10.4,10.6,19.2,42.2,107.4,33.5,21.8,6.3,4.9,21.3,10.7,21.9,7.1,30.8,27.2,20.6,2.7,9.8,6.1,11.3
Lancashire,16.2,4.4,10.4,16.0,13.0,36.1,137.3,31.5,25.0,7.7,34.7,43.3,23.7,6.6,9.6,44.0,27.7,24.0,1.4,5.9,3.2,16.6
Leicestershire,19.6,6.4,13.4,19.3,40.8,114.0,224.1,76.4,55.4,27.6,31.8,33.1,29.3,30.3,18.6,99.3,62.0,58.1,2.2,11.6,5.6,23.2
Lincolnshire,20.3,8.8,98.4,21.6,8.1,28.6,250.7,35.0,1.6,7.4,14.7,37.5,13.1,10.2,6.2,16.5,44.3,19.3,1.7,3.3,2.2,21.6
London,41.4,35.6,84.5,46.9,125.0,217.2,778.6,209.9,113.7,32.1,65.7,162.9,70.7,56.4,28.3,150.4,122.4,93.4,18.0,70.5,47.5,73.8
Merseyside,38.9,12.4,11.2,38.2,26.3,101.4,333.3,81.8,21.2,7.0,23.2,50.7,21.2,37.7,16.7,55.4,47.3,40.4,15.9,23.5,18.1,38.6
Norfolk,14.2,10.5,34.1,14.8,24.4,64.8,149.5,53.3,72.0,4.5,2.4,27.6,14.5,42.2,14.5,54.3,30.4,33.1,3.5,3.1,3.3,15.4
North Wales,12.9,18.3,9.2,12.9,17.2,34.5,261.9,53.4,18.3,6.3,10.8,75.6,17.7,2.8,8.4,19.1,20.4,13.4,1.1,10.6,5.7,13.0
North Yorkshire,12.9,6.7,5.5,12.6,10.2,28.8,35.9,19.1,12.3,12.1,26.0,11.4,16.4,16.3,3.9,20.2,10.0,11.0,3.1,1.8,2.6,13.3
Northamptonshire,17.3,6.7,46.7,18.0,36.1,55.6,168.6,58.3,51.1,7.7,21.5,48.6,19.9,33.1,14.2,107.1,32.5,56.4,3.7,5.7,4.5,19.4
Northumbria,26.4,2.4,7.4,25.9,15.1,36.4,103.0,23.6,26.3,4.7,17.0,38.2,17.1,10.3,8.4,17.1,28.0,15.6,1.9,3.3,2.5,25.5
Nottinghamshire,4.0,2.9,1.3,4.0,10.7,26.1,30.5,21.4,1.1,2.2,11.9,14.6,7.0,13.3,3.8,25.3,5.5,15.3,1.1,3.2,1.8,4.9
South Wales,15.2,6.5,4.3,14.9,52.3,126.8,232.0,90.6,16.1,7.9,14.1,42.7,16.1,21.1,9.0,34.4,32.5,25.0,2.1,9.5,5.7,15.6
South Yorkshire,21.8,6.9,10.5,21.5,35.8,101.6,312.3,76.2,12.1,9.5,56.1,58.8,41.2,50.7,22.3,93.5,38.1,55.3,1.5,5.9,3.3,24.0
Staffordshire,10.2,5.3,6.5,10.2,14.2,63.5,49.5,43.2,20.9,9.6,32.9,26.2,23.4,9.1,28.1,43.9,21.3,31.9,4.2,4.8,4.5,10.9
Suffolk,9.2,5.5,8.0,9.1,22.0,34.0,29.8,28.6,23.2,0.8,7.6,17.3,7.4,35.2,9.0,42.0,24.8,27.7,3.0,5.8,4.5,9.7
Surrey,16.3,8.3,9.4,15.7,23.8,48.5,105.6,39.1,16.2,7.6,32.9,48.8,22.2,28.4,9.7,59.0,30.9,28.3,2.5,9.5,6.4,16.8
Sussex,11.7,6.1,15.5,11.8,27.1,39.3,122.8,37.6,9.7,13.4,34.6,38.9,21.9,27.9,13.7,40.0,17.4,22.8,2.7,4.0,3.4,13.3
Thames Valley,12.4,8.0,9.7,12.2,25.9,50.5,183.4,47.0,68.2,8.2,49.8,25.5,28.0,42.9,16.2,90.6,27.1,45.4,2.4,7.4,4.9,15.5
