area,White,Black,Asian,Mixed,Chinese or Other,Total
Avon and Somerset,8.5,39.9,4.3,23.3,1.8,11.5
Bedfordshire,10.2,37.1,21.9,40.8,3.7,13.5
Cambridgeshire,8.8,11.3,11.0,12.7,2.8,9.2
Cheshire,5.7,8.6,7.4,7.0,4.9,5.8
Cleveland,49.3,41.8,43.9,37.4,37.7,49.5
Cumbria,22.7,15.9,18.1,14.6,5.1,23.0
Derbyshire,8.8,23.8,18.3,23.5,2.8,9.5
Devon & Cornwall,15.5,24.2,4.9,16.2,3.4,16.0
Dorset,9.8,44.3,10.4,17.2,5.4,10.3
Durham,11.0,3.9,1.7,3.1,1.1,10.9
Dyfed-Powys,26.8,29.5,13.8,18.2,10.2,27.1
Essex,5.6,13.9,5.7,16.1,2.3,6.0
Gloucestershire,10.0,35.4,10.3,29.2,4.3,10.5
Greater Manchester,15.1,68.1,24.2,47.2,10.4,17.5
Gwent,16.8,82.8,76.3,43.2,21.3,18.4
Hampshire,11.9,47.9,12.6,27.9,8.8,13.0
Hertfordshire,12.2,35.0,17.6,35.7,7.3,13.7
Humberside,11.6,16.0,8.6,15.9,12.4,11.8
Kent,9.7,25.6,9.7,16.6,3.9,10.1
Lancashire,17.3,26.2,26.7,23.7,4.2,18.0
Leicestershire,23.4,94.0,37.9,62.1,3.4,27.7
Lincolnshire,17.1,18.3,6.2,11.3,1.4,16.8
London,46.8,213.6,79.9,104.8,44.1,73.3
Merseyside,37.2,54.6,11.7,32.7,15.9,37.0
Norfolk,16.9,57.2,11.0,23.1,4.1,17.4
North Wales,10.0,9.1,5.8,9.7,4.4,10.0
North Yorkshire,8.5,9.6,11.2,8.8,3.1,9.0
Northamptonshire,18.5,52.9,23.8,41.7,5.9,19.6
Northumbria,31.8,19.8,19.0,10.6,2.7,30.9
Nottinghamshire,4.6,22.6,7.6,19.9,3.1,6.0
South Wales,13.9,46.0,12.7,15.8,4.7,14.1
South Yorkshire,21.4,83.2,39.5,47.9,3.3,23.9
Staffordshire,7.6,17.4,15.7,21.3,2.9,8.1
Suffolk,6.4,21.3,4.8,18.4,4.5,7.1
Surrey,13.5,28.5,17.4,22.1,5.9,14.3
Sussex,11.9,26.3,14.6,19.9,5.1,13.4
Thames Valley,17.6,62.3,35.6,63.4,6.2,22.0
Warwickshire,15.0,45.4,16.7,59.4,5.7,16.0
West Mercia,10.4,27.9,22.6,30.0,1.2,11.2
West Midlands,5.0,23.5,17.5,21.1,3.8,8.5
West Yorkshire,16.1,38.2,33.9,40.0,10.3,18.8
Wiltshire,9.6,38.2,8.0,18.6,5.3,10.1
England and Wales,17.9,125.7,40.2,50.3,17.5,23.6
E&W excl. London,14.3,37.4,21.3,29.3,5.8,15.5
